"Eat not to dullness, drink not to elevation" represents ________; temperance #[h] this is a hint
"Speak not but what may benefit others or yourself\; avoid trifling conversation." represents ______; silence
"Let all your things have their places\; let each part of your business have its time." represents _______; order
"Resolve to perform what you ought\; perform without fail what you resolve." represents _______; resolution
"Make no expense but to do good to others or yourself. That is, waste nothing." represents _______; frugality
"Lose no time\; be always employ’d in something useful\; cut off all unnecessary actions" represents _______; industry
"Use no hurtful deceit\; think innocently and justly, and, if you speak, speak accordingly." represents _______; sincerity
"Wrong none by doing injuries, or omitting the benefits that are your duty." represents _______; justice
"Avoid extremes\; forbear resenting injuries so much as you think they deserve." represents _______; moderation
"Tolerate no uncleanliness in body, cloaths, or habitation." represents _______; cleanliness
"Be not disturbed at trifles, or at accidents common or unavoidable." represents ______; tranquility
"Rarely use venery but for health or offspring, never to dullness, weakness, or the injury of your own or another’s peace or reputation." represents _____;chasity
"Imitate Jesus and Socrates" represnts ______; humility
