The Greek mainland is relatively difficult to cultivate crops (they described their land as a pile of rocks thrown down by the gods), therefore they turned to the ______ to acquire needed grains and food.; sea
Greece and the Mediterranean or Agean areas thrived because they all gained prosperity from common merchant  _____ routes (the Greeks called it emporia); trade
Trade routes flourished by trading precious _____, ivory, coins, ideas, olive oil, culture, grains, perfumes, pottery, textiles, slaves, papyrus, glass, wine and spices.; metals
Shipping, standardization of measures, coinage, taxes/tariffs and loans (banking) played a large part in successful trading. The easiest and main means of trasnprot was over the ____; water | sea | ocean
Two early trade route points became very influential, Minos, and Mycenea. Minos was the first King of the island ________ and a son of Zeus and Europa (Cretan moon goddess); Crete
Dorians (Southeast Peloponesse), Aeolians (Thessaly), Achaeans (northern Peloponesse), Ionians (Western coast of Antolia) were the ethnic divisions of Classical Greece (True or False); true
____ civiliation existed from c 2200-1450 BC; Minoan
_____ civilization existed from c 1600 - 1200 BC; Mycenaean
Minoan civilization lived  during the Bronze Age in ________; Crete
First advanced civilization in Mainland Greece (late Bronze Age, second millenium BC 1600-1100 BC) called the ______ civilization; Mycenaean
Center of the Mycenaean civilization was located in the north-eastern Peloponesse Greece (the Argolis region, along the south coast of the Saronic Gulf); Mycenae
The entrance of citadel (fortress circa 1250 BC) of Mycenae is marked by the _______ Gate; Lions
The Myceneaen Greece phase was followed by (possibly initiated by the Dorian invasion) the ancient Greek ____ Ages; Dark
Who wrote the two iconic epic poems (The Illiad and The Odyssey) in Greek literature (c 800-750 BC also known as "the blind bard of Ionia" [Turkey]); Homer
The father of Greek didactic poetry c 750 BC; Hesiod
The father of philosophy was _____ of Miletus c 624-546 BC; Thales
Sparta is part of the ______ area of the Peloponesse; Laconia | Laconian # (our word laconic comes from this)
______ Greece existed in the 5th and 4th century BC; Classical
Prominent Greek city-states generally had a mythologic birth (natio) called ________ myths; foundation | foundational
Our word meander (to wonder back and forth) comes from the Maeander River that emptied into a harbor port city in ancient Caria (Turkey) called ____; Miletus
Anaxagoras (c 510 - 428 BC) was an early philosopher who introduced the concept of the "Nous" (faculty of the human mind for understanding what is true and what is false);
The Greek historian ____ known as the father of history or the first historian (c 484- 425 BC); Herodotus
Thucydides was a Greek historian who wrote about 30 years of ____ between Athens and Sparta c 460 - 400 BC.; war
The father of logic and sometimes refered to as the father of rhetoric and science. He also taught Alexander the Great; Aristotle
The famous Greek who is considered the father of philosophy. He committed suicide after imprisonment by the government of Athens for corrupting the youth; Socrates
Hippocrates is considered to be the father of ________ c 460 - 370 BC; medicine
Alexander the Great lived 356-323 BC in the region called ____, Macedonia
Alexander's father was _____ II; Phillip
Phillip II vastly expanded and improved the Greek Macedonian military with companion soldiers, long sarissa spears, hoplites, calvary xyston spear, peltast short bow, javelin, sling. Foot soldiers who carried spears, bows, and slings were called _____; pelters
Phillip II launched campaigns against Thebes (southwest of Athens) and succeeded in the Battle of Chaeronea c 338 BC. His army was led by the young son,  ________ ... who later became "the Great"); Alexander
Alexander the Great was taught by ________; Aristotle
Alexander the Great became king at about age __ after the assassination of his father (rumor says it could have been Alexander and his mother Olympias who killed him); 20
Alexander (won or lost) against Darius II of the Persian army at Gaulgamela with 45000-50000 men against 100000-250000 men.; won # He never lost a battle in 15 years of fighting
Alexander maintained the coordinated supply (this aspect of military strategy is called _______) to his troops even if it meant going "the long way".; logistics
Alexander the Great created one of the largest ________ of the ancient world (Macedonian Empire) by the age of 30; empires
The city of Alexandria in Egypt had a grand library named after; Alexander the Great | Alexander
Alexander the Great (and his father Phillip II) were kings of; Mecedon
Alexander the Greek was born in; Pella (meaning ___); stone | stones
Alexander died in ________ at age 33, many theories to his death but likely to have been typhoid) and his generals took control of regions within the empire.; Babalon
Alexander the Great founded many new cities and fostered cultural diffusion (one of the most influential people in history) [True or False]; true
Alexander the Great secret to never losing (never lost a battle in 15 years of conquest) was, military tactics, stategy, ferocity, and experienced soldiers; true
Alexander the Great was considered a military genius (certainly of his time); true # (vs eastern father of military strategy Sun Tzu)
Three Greek theater tradgedians; Aeschylus (523-456 BC) , ________ (497-406BC), and Euripides (480-406 BC); Sophocles
Ertosthenes is considered to be the father of _______ c 276 BC; geography
______ (428-327 BC) developed dialogue (be careful here, this is a special form of rhetoric between two individuals) into an art form; Plato
The father of geometry was ______ of Alexandria (Egypt), a Greek c 300 BC; Euclid
Who wrote about the paradox of time (_____ of Elea); Zeno
# What is a doxography; works of classical historians on philosophers see possibly Diogenes Laertius
The first pre-socratic philosophers were from _____ (the west coast of Anatolia/ Turkey); Miletus
Pre-Socratic Schools included; Milesian, Pythagorean, Ephesian, Eleatic, Pluralist, Atomist, ______, and others; Sophist | Sophists
The Seven Sages of Greece were; 1. Thales of Miletus, 2. Pittacus of Mytilene, 3. Bias of Priene, 4. _____ of Athens, 5 and 6 is/are of these: Cleobulus of Lindos .. Periander of Corrinth... Myson of Cenae, 7. Chilon of Sparta; Solon
# Clockwise order of acient Greece; Sporades, Aeean Islands, Dodecanese, (all surround the Cyclades Islands), Crete, Peloponesse (Sparta), (Corrinth), Attica (Athens), Ionian Islands, Central Greece, Epirus, Thessaly, Macedonia, Thrace
One of the first collaborative associations of Greek city states was called the ______ League (meeting assemblies were held on the island of Delos c 478 BC); Delian # (meetings were on the Cyclade Island of Delos)
Mythological birthplace of Apollo and Artemis - the center of the Greek Cyclades (circle of islands) - considered a holy sanctuary and had the "Sacred Lake" and the Terrace of Lions; Delos
# The Anatolian regions, clockwise; Cilia, Pamphylia, Lycia, Caria (Miletus) , Ionia, Lydia (Sardis), Daskyleion, Paphlagonia (Coast of the Black Sea)
Between the Mycenaean civilization and Archaic Greece was know as the Greek ____ ages; dark
The Archaic Greek period c 750 - 500 BC was followed by the ____ period which lasted c 480 - 323 BC; Classic
The ______ period of Greece or Mediterranean history was between the death of Alexander the Great and the emergence of the Roman empire at the battle of Actium c 323 - 31 BC; Hellenistic | Hellenic  # There is a difference between Hellenistic and Hellenic with the later being incorrect and refering to anything Greek
_____ composed (vs wrote) epic poems entitled the Illiad and the Odyssey c. 750 BC; Homer
______ composed poems of less length than the epic poems c 700 BC among which are: Theogony, Works and Days; Hesiod
According to Aristotle _____ (in 534 BC the first competitions are reported) was the first to a act out the part of another person; Thespis
____ is sometimes referred to the father of tradgedy (~525 BC 7 plays attributed to him survive: of them is included Prometheus Bound); Aeschylus
_____ early Ancient Greek comic playright of Athens (~390 BC ridicule was one of his powerful tools, satyrical :examples.. The Clouds, The Knights, The Babylonians; Aristophones
______ was an early classical tragedian of Athens (c 400 BC, 19 plays have survived, Medea, Electra, Bacchae); Euripides
A Theban play, Oedipus Rex was written by ______ (~470 BC, 7 have survived); Sophocles
Aristotle was known also as the father of _____ or the art of discourse or logical argument (the ability to write, or speak in order to persuade particularly in law or politics).; rhetoric
Rhetoric was first formally taught by Isocrates in his school c 400 BC. He became reportedly rich from his teachings and writings. His academy in ______ at the Lyceum (place of education) was the first to teach rhetoric. Rhetoric was held in high regard by the ancient Greeks for hundreds of years before Isocrates; Athens
Isocrates was one of the __ Attic Orators which also included Demonsthenes, Hypereides (who opposed Phillip II by defending Athens), and others ; 10
